case_id,algorithm,selected_item_ids_checksum,median_wall_runtime_seconds_level_03,median_used_container_count_level_03,median_total_container_cost_level_03,level_id_level_03,median_wall_runtime_seconds_level_04,median_used_container_count_level_04,median_total_container_cost_level_04,level_id_level_04,median_wall_runtime_seconds_level_05,median_used_container_count_level_05,median_total_container_cost_level_05,level_id,level_04_vs_03_runtime_ratio,level_05_vs_04_runtime_ratio,level_04_minus_03_containers,level_05_minus_04_containers
random_random_s1009_i500,extreme_point_ffd,a62c8164d9e9eb4a09808d94c3d17bef9ed152260f00d08ff0bd752cd1d622b8,9.272447499999544,20.0,40000.0,level_03,15.60041009998531,22.0,44000.0,level_04,9.618994799995562,22.0,44000.0,level_05,1.6824479297387318,0.616586021671611,2.0,0.0
random_random_s1009_i500,maximal_space_best_fit,a62c8164d9e9eb4a09808d94c3d17bef9ed152260f00d08ff0bd752cd1d622b8,5.333486799994716,19.0,38000.0,level_03,8.033684800000628,20.0,40000.0,level_04,8.307366799999727,20.0,40000.0,level_05,1.506272557008782,1.0340668082968698,1.0,0.0
random_random_s101_i100,extreme_point_best_fit,5ee5b5f96448d303090a1a2eba5468c3f218e32f6bda379c014a76ba239aef29,1.1686176999937743,4.0,8000.0,level_03,1.1447218999965116,5.0,10000.0,level_04,2.224220999982208,5.0,10000.0,level_05,0.9795520810634736,1.9430230171965663,1.0,0.0
random_random_s101_i100,extreme_point_ffd,5ee5b5f96448d303090a1a2eba5468c3f218e32f6bda379c014a76ba239aef29,1.1076955999888014,4.0,8000.0,level_03,0.9783930999983568,5.0,10000.0,level_04,1.0429951999976763,5.0,10000.0,level_05,0.8832689233470352,1.0660287771851908,1.0,0.0
random_random_s101_i100,maximal_space_best_fit,5ee5b5f96448d303090a1a2eba5468c3f218e32f6bda379c014a76ba239aef29,0.9719066999969072,4.0,8000.0,level_03,0.8648572000092827,4.0,8000.0,level_04,0.9369644999969752,4.0,8000.0,level_05,0.8898561971144296,1.0833748045190796,0.0,0.0
random_random_s101_i20,extreme_point_best_fit,f834eebbbbc51dcb54a17e8ceb8c9971d919c09551f135d951bd090e358f574c,0.3356679999851621,1.0,2000.0,level_03,0.3310686999757308,2.0,4000.0,level_04,0.3363144999893848,2.0,4000.0,level_05,0.9862980683007179,1.0158450497254452,1.0,0.0
random_random_s101_i20,extreme_point_ffd,f834eebbbbc51dcb54a17e8ceb8c9971d919c09551f135d951bd090e358f574c,0.36624760000268,1.0,2000.0,level_03,0.3055584999965504,2.0,4000.0,level_04,0.3168136000167578,2.0,4000.0,level_05,0.8342948868315164,1.0368345178430136,1.0,0.0
random_random_s101_i20,maximal_space_best_fit,f834eebbbbc51dcb54a17e8ceb8c9971d919c09551f135d951bd090e358f574c,0.3944847999955527,1.0,2000.0,level_03,0.2969021000026259,2.0,4000.0,level_04,0.2866530999890528,2.0,4000.0,level_05,0.7526325475809793,0.9654802036985173,1.0,0.0
random_random_s101_i200,extreme_point_best_fit,4e2f532f16ebe2aa2e56946e8b4dd95ba949c69c2997705122e254ebba86b4aa,2.698094499995932,8.0,16000.0,level_03,3.695186700002523,9.0,18000.0,level_04,7.656118999992032,10.0,20000.0,level_05,1.3695542168771682,2.0719166909717455,1.0,1.0
random_random_s101_i200,extreme_point_ffd,4e2f532f16ebe2aa2e56946e8b4dd95ba949c69c2997705122e254ebba86b4aa,2.392778500012355,8.0,16000.0,level_03,3.158271899999818,9.0,18000.0,level_04,3.741033199999947,9.0,18000.0,level_05,1.3199182038719883,1.1845190403018064,1.0,0.0
